sample_no,temperature,average temperature,filteredY,std,breath state
0,28.1,0,0,0,-1
1,28.1,0,0,0,-1
2,28.1,0,0,0,-1
3,28.1,0,0,0,-1
4,28.11,0,0,0,-1
5,28.11,0,0,0,-1
6,28.12,0,0,0,-1
7,28.12,0,0,0,-1
8,28.12,0,0,0,-1
9,28.13,0,0,0,-1
10,28.13,0,0,0,-1
11,28.12,0,0,0,-1
12,28.13,0,0,0,-1
13,28.12,0,0,0,-1
14,28.12,0,0,0,-1
15,28.12,0,0,0,-1
16,28.13,0,0,0,-1
17,28.13,0,0,0,-1
18,28.12,0,0,0,-1
19,28.13,0,0,0,-1
20,28.13,0,0,0,-1
21,28.14,0,0,0,-1
22,28.15,0,0,0,-1
23,28.15,0,0,0,-1
24,28.17,0,0,0,-1
25,28.18,0,0,0,-1
26,28.19,0,0,0,-1
27,28.22,0,0,0,-1
28,28.25,0,0,0,-1
29,28.27,0,0,0,-1
30,28.29,0,0,0,-1
31,28.33,0,0,0,-1
32,28.36,0,0,0,-1
33,28.39,0,0,0,-1
34,28.41,0,0,0,-1
35,28.44,0,0,0,-1
36,28.47,0,0,0,-1
37,28.49,0,0,0,-1
38,28.53,0,0,0,-1
39,28.56,0,0,0,-1
40,28.59,0,0,0,-1
41,28.61,0,0,0,-1
42,28.65,0,0,0,-1
43,28.68,0,0,0,-1
44,28.7,0,0,0,-1
45,28.73,0,0,0,-1
46,28.76,0,0,0,-1
47,28.79,0,0,0,-1
48,28.81,0,0,0,-1
49,28.84,0,0,0,-1
50,28.85,0,0,0,-1
51,28.87,0,0,0,-1
52,28.9,0,0,0,-1
53,28.92,0,0,0,-1
54,28.94,0,0,0,-1
55,28.96,0,0,0,-1
56,28.98,0,0,0,-1
57,28.99,0,0,0,-1
58,29.01,0,0,0,-1
59,29.03,0,0,0,-1
60,29.05,0,0,0,-1
61,29.06,0,0,0,-1
62,29.07,0,0,0,-1
63,29.09,0,0,0,-1
64,29.1,0,0,0,-1
65,29.12,0,0,0,-1
66,29.13,0,0,0,-1
67,29.14,0,0,0,-1
68,29.14,0,0,0,-1
69,29.14,0,0,0,-1
70,29.15,0,0,0,-1
71,29.15,0,0,0,-1
72,29.14,0,0,0,-1
73,29.13,0,0,0,-1
74,29.12,0,0,0,-1
75,29.11,0,0,0,-1
76,29.09,0,0,0,-1
77,29.07,0,0,0,-1
78,29.05,0,0,0,-1
79,29.03,0,0,0,-1
80,29.0,0,0,0,-1
81,28.97,0,0,0,-1
82,28.94,0,0,0,-1
83,28.92,0,0,0,-1
84,28.89,0,0,0,-1
85,28.86,0,0,0,-1
86,28.83,0,0,0,-1
87,28.81,0,0,0,-1
88,28.77,0,0,0,-1
89,28.75,0,0,0,-1
90,28.72,0,0,0,-1
91,28.69,0,0,0,-1
92,28.66,0,0,0,-1
93,28.63,0,0,0,-1
94,28.61,0,0,0,-1
95,28.59,0,0,0,-1
96,28.57,0,0,0,-1
97,28.55,0,0,0,-1
98,28.53,0,0,0,-1
99,28.51,0,0,0,0
100,28.49,0,0,0,1
101,28.47,0,0,0,0
102,28.47,0,0,0,0
103,28.46,0,0,0,0
104,28.44,0,0,0,-1
105,28.43,0,0,0,-1
106,28.42,0,0,0,-1
107,28.41,0,0,0,-1
108,28.41,0,0,0,-1
109,28.41,0,0,0,-1
110,28.4,0,0,0,-1
111,28.39,0,0,0,-1
112,28.38,0,0,0,-1
113,28.38,0,0,0,-1
114,28.38,0,0,0,-1
115,28.38,0,0,0,-1
116,28.38,0,0,0,-1
117,28.38,0,0,0,-1
118,28.4,0,0,0,-1
119,28.4,0,0,0,-1
120,28.41,0,0,0,-1
121,28.42,0,0,0,-1
122,28.44,0,0,0,-1
123,28.46,0,0,0,-1
124,28.49,0,0,0,-1
125,28.51,0,0,0,-1
126,28.54,0,0,0,-1
127,28.57,0,0,0,0
128,28.59,0,0,0,0
129,28.62,0,0,0,0
130,28.66,0,0,0,0
131,28.68,0,0,0,0
132,28.72,0,0,0,0
133,28.75,0,0,0,0
134,28.77,0,0,0,0
135,28.8,0,0,0,0
136,28.84,0,0,0,0
137,28.86,0,0,0,0
138,28.89,0,0,0,1
139,28.91,0,0,0,1
140,28.95,0,0,0,1
141,28.96,0,0,0,1
142,29.01,0,0,0,1
143,29.02,0,0,0,1
144,29.06,0,0,0,1
145,29.08,0,0,0,1
146,29.1,0,0,0,1
147,29.12,0,0,0,1
148,29.15,0,0,0,1
149,29.16,0,0,0,1
150,29.2,0,0,0,1
151,29.21,0,0,0,1
152,29.23,0,0,0,1
153,29.26,0,0,0,1
154,29.26,0,0,0,1
155,29.3,0,0,0,1
156,29.31,0,0,0,1
157,29.33,0,0,0,1
158,29.34,0,0,0,1
159,29.36,0,0,0,1
160,29.37,0,0,0,1
161,29.38,0,0,0,1
162,29.38,0,0,0,1
163,29.38,0,0,0,1
164,29.38,0,0,0,1
165,29.38,0,0,0,1
166,29.38,0,0,0,1
167,29.37,0,0,0,1
168,29.35,0,0,0,1
169,29.34,0,0,0,1
170,29.32,0,0,0,1
171,29.31,0,0,0,1
172,29.27,0,0,0,1
173,29.26,0,0,0,1
174,29.22,0,0,0,1
175,29.2,0,0,0,1
176,29.17,0,0,0,1
177,29.15,0,0,0,1
178,29.11,0,0,0,1
179,29.09,0,0,0,1
180,29.06,0,0,0,1
181,29.03,0,0,0,1
182,29.0,0,0,0,0
183,28.97,0,0,0,0
184,28.93,0,0,0,0
185,28.91,0,0,0,0
186,28.88,0,0,0,0
187,28.84,0,0,0,0
188,28.83,0,0,0,0
189,28.81,0,0,0,0
190,28.78,0,0,0,0
191,28.76,0,0,0,0
192,28.74,0,0,0,0
193,28.72,0,0,0,0
194,28.7,0,0,0,0
195,28.69,0,0,0,0
196,28.68,0,0,0,-1
197,28.67,0,0,0,-1
198,28.66,0,0,0,-1
199,28.65,0,0,0,-1
200,28.63,0,0,0,-1
201,28.63,0,0,0,-1
202,28.62,0,0,0,-1
203,28.61,0,0,0,-1
204,28.61,0,0,0,-1
205,28.62,0,0,0,-1
206,28.62,0,0,0,-1
207,28.63,0,0,0,-1
208,28.65,0,0,0,-1
209,28.66,0,0,0,-1
210,28.68,0,0,0,-1
211,28.7,0,0,0,-1
212,28.73,0,0,0,0
213,28.74,0,0,0,0
214,28.77,0,0,0,0
215,28.8,0,0,0,0
216,28.83,0,0,0,0
217,28.86,0,0,0,0
218,28.89,0,0,0,0
219,28.92,0,0,0,0
220,28.94,0,0,0,0
221,28.98,0,0,0,0
222,29.0,0,0,0,0
223,29.03,0,0,0,0
224,29.06,0,0,0,0
225,29.08,0,0,0,0
226,29.11,0,0,0,1
227,29.14,0,0,0,1
228,29.17,0,0,0,1
229,29.2,0,0,0,1
230,29.22,0,0,0,1
231,29.23,0,0,0,1
232,29.26,0,0,0,1
233,29.29,0,0,0,1
234,29.31,0,0,0,1
235,29.34,0,0,0,1
236,29.35,0,0,0,1
237,29.37,0,0,0,1
238,29.39,0,0,0,1
239,29.41,0,0,0,1
240,29.42,0,0,0,1
241,29.43,0,0,0,1
242,29.45,0,0,0,1
243,29.46,0,0,0,1
244,29.47,0,0,0,1
245,29.47,0,0,0,1
246,29.48,0,0,0,1
247,29.49,0,0,0,1
248,29.49,0,0,0,1
249,29.5,0,0,0,1
250,29.5,0,0,0,1
251,29.49,0,0,0,1
252,29.48,0,0,0,1
253,29.47,0,0,0,1
254,29.46,0,0,0,1
255,29.43,0,0,0,1
256,29.41,0,0,0,1
257,29.39,0,0,0,1
258,29.37,0,0,0,1
259,29.33,0,0,0,1
260,29.32,0,0,0,1
261,29.29,0,0,0,1
262,29.26,0,0,0,1
263,29.22,0,0,0,0
264,29.19,0,0,0,0
265,29.16,0,0,0,0
266,29.13,0,0,0,0
267,29.11,0,0,0,0
268,29.08,0,0,0,0
269,29.06,0,0,0,0
270,29.03,0,0,0,0
271,29.0,0,0,0,0
272,28.98,0,0,0,0
273,28.96,0,0,0,0
274,28.94,0,0,0,0
275,28.93,0,0,0,0
276,28.9,0,0,0,-1
277,28.9,0,0,0,-1
278,28.87,0,0,0,-1
279,28.87,0,0,0,-1
280,28.86,0,0,0,-1
281,28.85,0,0,0,-1
282,28.83,0,0,0,-1
283,28.83,0,0,0,-1
284,28.83,0,0,0,-1
285,28.82,0,0,0,-1
286,28.82,0,0,0,-1
287,28.81,0,0,0,-1
288,28.81,0,0,0,-1
289,28.8,0,0,0,-1
290,28.8,0,0,0,-1
291,28.79,0,0,0,-1
292,28.79,0,0,0,-1
293,28.79,0,0,0,-1
294,28.8,0,0,0,-1
295,28.79,0,0,0,-1
296,28.79,0,0,0,-1
297,28.79,0,0,0,-1
298,28.8,0,0,0,-1
299,28.8,0,0,0,-1
300,28.8,0,0,0,-1
301,28.8,0,0,0,-1
302,28.8,0,0,0,-1
303,28.81,0,0,0,-1
304,28.81,0,0,0,-1
305,28.81,0,0,0,-1
306,28.81,0,0,0,-1
307,28.81,0,0,0,-1
308,28.81,0,0,0,-1
309,28.81,0,0,0,-1
310,28.81,0,0,0,-1
311,28.8,0,0,0,-1
312,28.81,0,0,0,-1
313,28.81,0,0,0,-1
314,28.81,0,0,0,-1
315,28.81,0,0,0,-1
316,28.82,0,0,0,-1
317,28.81,0,0,0,-1
318,28.82,0,0,0,-1
319,28.81,0,0,0,-1
320,28.8,0,0,0,-1
321,28.82,0,0,0,-1
322,28.81,0,0,0,-1
323,28.81,0,0,0,-1
324,28.82,0,0,0,-1
325,28.82,0,0,0,-1
326,28.84,0,0,0,-1
327,28.84,0,0,0,-1
328,28.85,0,0,0,-1
329,28.87,0,0,0,-1
330,28.88,0,0,0,-1
331,28.9,0,0,0,-1
332,28.92,0,0,0,0
333,28.94,0,0,0,0
334,28.96,0,0,0,0
335,28.98,0,0,0,0
336,29.01,0,0,0,0
337,29.04,0,0,0,0
338,29.07,0,0,0,0
339,29.1,0,0,0,0
340,29.12,0,0,0,0
341,29.14,0,0,0,1
342,29.18,0,0,0,1
343,29.2,0,0,0,1
344,29.23,0,0,0,1
345,29.25,0,0,0,1
346,29.28,0,0,0,1
347,29.31,0,0,0,1
348,29.33,0,0,0,1
349,29.36,0,0,0,1
350,29.37,0,0,0,1
351,29.4,0,0,0,1
352,29.41,0,0,0,1
353,29.43,0,0,0,1
354,29.45,0,0,0,1
355,29.47,0,0,0,1
356,29.49,0,0,0,1
357,29.5,0,0,0,1
358,29.52,0,0,0,1
359,29.54,0,0,0,1
360,29.55,0,0,0,1
361,29.57,0,0,0,1
362,29.57,0,0,0,1
363,29.58,0,0,0,1
364,29.59,0,0,0,1
365,29.6,0,0,0,1
366,29.6,0,0,0,1
367,29.62,0,0,0,1
368,29.62,0,0,0,1
369,29.61,0,0,0,1
370,29.61,0,0,0,1
371,29.62,0,0,0,1
372,29.61,0,0,0,1
373,29.6,0,0,0,1
374,29.6,0,0,0,1
375,29.58,0,0,0,1
376,29.57,0,0,0,1
377,29.56,0,0,0,1
378,29.55,0,0,0,1
379,29.53,0,0,0,1
380,29.51,0,0,0,1
381,29.49,0,0,0,1
382,29.47,0,0,0,1
383,29.45,0,0,0,1
384,29.43,0,0,0,1
385,29.41,0,0,0,1
386,29.38,0,0,0,1
387,29.36,0,0,0,1
388,29.33,0,0,0,1
389,29.31,0,0,0,1
390,29.29,0,0,0,0
391,29.26,0,0,0,0
392,29.24,0,0,0,0
393,29.21,0,0,0,0
394,29.19,0,0,0,0
395,29.18,0,0,0,0
396,29.17,0,0,0,0
397,29.16,0,0,0,0
398,29.14,0,0,0,0
399,29.12,0,0,0,0
400,29.11,0,0,0,0
401,29.1,0,0,0,0
402,29.08,0,0,0,0
403,29.07,0,0,0,0
404,29.06,0,0,0,0
405,29.05,0,0,0,-1
406,29.05,0,0,0,-1
407,29.04,0,0,0,-1
408,29.03,0,0,0,-1
409,29.03,0,0,0,-1
410,29.04,0,0,0,-1
411,29.05,0,0,0,-1
412,29.05,0,0,0,-1
413,29.05,0,0,0,-1
414,29.07,0,0,0,-1
415,29.08,0,0,0,-1
416,29.1,0,0,0,0
417,29.11,0,0,0,0
418,29.12,0,0,0,0
419,29.15,0,0,0,0
420,29.17,0,0,0,0
421,29.18,0,0,0,0
422,29.2,0,0,0,0
423,29.22,0,0,0,0
424,29.25,0,0,0,0
425,29.28,0,0,0,0
426,29.31,0,0,0,0
427,29.32,0,0,0,0
428,29.34,0,0,0,0
429,29.37,0,0,0,0
430,29.38,0,0,0,0
431,29.4,0,0,0,1
432,29.43,0,0,0,1
433,29.45,0,0,0,1
434,29.46,0,0,0,1
435,29.47,0,0,0,1
436,29.49,0,0,0,1
437,29.5,0,0,0,1
438,29.52,0,0,0,1
439,29.54,0,0,0,1
440,29.54,0,0,0,1
441,29.55,0,0,0,1
442,29.57,0,0,0,1
443,29.58,0,0,0,1
444,29.58,0,0,0,1
445,29.59,0,0,0,1
446,29.6,0,0,0,1
447,29.59,0,0,0,1
448,29.6,0,0,0,1
449,29.61,0,0,0,1
450,29.61,0,0,0,1
451,29.61,0,0,0,1
452,29.6,0,0,0,1
453,29.6,0,0,0,1
454,29.59,0,0,0,1
455,29.58,0,0,0,1
456,29.57,0,0,0,1
457,29.57,0,0,0,1
458,29.55,0,0,0,1
459,29.54,0,0,0,1
460,29.53,0,0,0,1
461,29.51,0,0,0,1
462,29.49,0,0,0,1
463,29.48,0,0,0,0
464,29.46,0,0,0,0
465,29.44,0,0,0,0
466,29.42,0,0,0,0
467,29.4,0,0,0,0
