x1,v1,x2,v2
,,,
0,25.481058,0,27.63763
0.101321,28.029187,0.101321,17.441533
0.201431,33.125444,0.201431,19.990557
0.300067,25.481058,0.300067,9.79446
0.40223,16.562608,0.40223,8.519948
0.501275,26.755123,0.501275,12.343485
0.602645,20.384801,0.602645,11.068973
0.703599,12.740415,0.703599,2.147388
0.803272,17.836672,0.803272,-0.401636
0.902137,14.014479,0.902137,3.4219
1.003866,12.740415,1.003866,0.872876
1.10504,7.644157,1.10504,-5.499685
1.206268,-3.822422,1.206268,-15.695781
1.306447,-7.644615,1.306447,-33.538951
1.406352,-35.674031,1.406352,-71.774313
1.506508,-40.770288,1.506508,-85.793947
1.606148,-35.674031,1.606148,-79.421386
1.707295,-49.688739,1.707295,-93.441019
1.80757,-63.703447,1.80757,-113.833213
1.90679,-49.688739,1.90679,-103.637116
2.006623,-68.799704,2.006623,-120.205773
2.10722,-64.977511,2.10722,-121.480285
2.208318,-44.592482,2.208318,-98.539067
2.308664,-45.866546,2.308664,-87.068459
2.408825,-45.866546,2.408825,-85.793947
2.509634,-38.22216,2.509634,-84.519434
2.608536,-43.318417,2.608536,-83.244922
2.709456,-57.333125,2.709456,-97.264555
2.811814,-44.592482,2.811814,-83.244922
2.910855,-31.851838,2.910855,-74.323338
3.010993,-49.688739,3.010993,-99.81358
3.113251,-61.155318,3.113251,-111.284188
3.213628,-56.059061,3.213628,-115.107725
3.313576,-45.866546,3.313576,-101.088092
3.413365,-53.510932,3.413365,-102.362604
3.514796,-24.207452,3.514796,-55.205656
3.613805,-5.096486,3.613805,-24.617366
3.713724,-0.000229,3.713724,-10.597733
3.8147,26.755123,3.8147,14.892509
3.915171,50.962345,3.915171,27.63763
4.015722,36.947637,4.015722,39.108239
4.116141,53.510474,4.116141,41.657263
4.21827,66.251118,4.21827,51.853359
4.318581,61.15486,4.318581,42.931775
4.418382,54.784538,4.418382,37.833726
4.51783,58.606732,4.51783,36.559214
4.618405,64.977053,4.618405,41.657263
4.720659,54.784538,4.720659,32.735678
4.820007,53.510474,4.820007,23.814093
4.921251,45.866088,4.921251,23.814093
5.019968,38.221702,5.019968,21.265069
5.120719,29.303251,5.120719,16.167021
5.221743,43.317959,5.221743,22.539581
5.322114,33.125444,5.322114,14.892509
5.42319,20.384801,5.42319,8.519948
5.523419,20.384801,5.523419,5.970924
5.622827,21.658865,5.622827,5.970924
5.723276,12.740415,5.723276,3.4219
5.823616,14.014479,5.823616,2.147388
5.923496,15.288543,5.923496,0.872876
6.023181,1.273835,6.023181,-9.323221
6.124115,-10.192744,6.124115,-19.519318
6.224613,-12.740873,6.224613,-38.636999
6.324681,-34.399967,6.324681,-74.323338
6.425647,-58.60719,6.425647,-115.107725
6.526896,-71.347833,6.526896,-131.676382
6.626332,-58.60719,6.626332,-125.303821
6.72757,-68.799704,6.72757,-138.048942
6.828696,-73.895962,6.828696,-132.950894
6.930275,-85.362541,6.930275,-150.794063
7.031238,-81.540348,7.031238,-148.245039
7.131935,-68.799704,7.131935,-135.499918
7.23254,-68.799704,7.23254,-130.40187
7.331088,-64.977511,7.331088,-126.578333
7.433053,-45.866546,7.433053,-102.362604
7.533014,-44.592482,7.533014,-80.695898
7.633809,-44.592482,7.633809,-80.695898
7.734266,-17.83713,7.734266,-46.284072
