sample_no,temperature,average temperature,humidity,average humidity,breath state
0,27.33,0,59.77974371822732,0,-1
1,27.33,0,59.38361323736601,0,-1
2,27.33,0,58.99299025809694,0,-1
3,27.34,0,58.60861018297092,0,-1
4,27.34,0,58.23508072801333,0,-1
5,27.33,0,57.86110718417141,0,-1
6,27.34,0,57.49882029735431,0,-1
7,27.34,0,57.13082724111539,0,-1
8,27.33,0,56.77950091102124,0,-1
9,27.33,0,56.4283291892316,0,-1
10,27.33,0,56.088450869288955,0,-1
11,27.33,0,55.75411609030083,0,-1
12,27.33,0,55.40833421516882,0,-1
13,27.33,0,55.08528117102328,0,-1
14,27.31,0,54.77319909662252,0,-1
15,27.3,0,54.46693418665707,0,-1
16,27.31,0,54.15529960106008,0,-1
17,27.3,0,53.87167149566432,0,-1
18,27.29,0,53.57109297464735,0,-1
19,27.28,0,53.292880443377264,0,-1
20,27.28,0,53.00935093098744,0,-1
21,27.27,0,52.736998685021305,0,-1
22,27.27,0,52.47051200311652,0,-1
23,27.26,0,52.2094711949711,0,-1
24,27.25,0,51.965303562464925,0,-1
25,27.24,0,51.69863802635454,0,-1
26,27.24,0,51.46037868760235,0,-1
27,27.24,0,51.21069924210621,0,-1
28,27.23,0,50.98931153473464,0,-1
29,27.23,0,50.756686829934836,0,-1
30,27.22,0,50.529604617928264,0,-1
31,27.22,0,50.308302465239485,0,-1
32,27.21,0,50.0924979537279,0,-1
33,27.2,0,49.87673988396238,0,-1
34,27.18,0,49.66076491688159,0,-1
35,27.18,0,49.46785239267497,0,-1
36,27.18,0,49.28055177285457,0,-1
37,27.18,0,49.10464268602519,0,-1
38,27.17,0,48.90583087157751,0,-1
39,27.16,0,48.735436040546944,0,-1
40,27.16,0,48.542384854053466,0,-1
41,27.16,0,48.39482420341403,0,-1
42,27.15,0,48.29252515787577,0,-1
43,27.14,0,48.26973447719982,0,-1
44,27.14,0,48.30378780921425,0,-1
45,27.15,0,48.38333366348028,0,-1
46,27.14,0,48.479630508012484,0,-1
47,27.14,0,48.61587964620043,0,-1
48,27.14,0,48.791848074003155,0,-1
49,27.14,0,49.05844845083117,0,-1
50,27.14,0,49.36478952312605,0,-1
51,27.14,0,49.728046507013595,0,-1
52,27.15,0,50.14794204995807,0,-1
53,27.16,0,50.58499155502951,0,-1
54,27.16,0,51.06146249445521,0,-1
55,27.16,0,51.54347803792612,0,-1
56,27.18,0,52.065442738503954,0,-1
57,27.18,0,52.59274970359788,0,-1
58,27.2,0,53.14308634104449,0,-1
59,27.21,0,53.6931533746091,0,-1
60,27.22,0,54.265895379232454,0,-1
61,27.23,0,54.84416160890423,0,-1
62,27.24,0,55.416683721421755,0,-1
63,27.25,0,56.0006477638044,0,-1
64,27.27,0,56.57321683226684,0,-1
65,27.28,0,57.14554317814208,0,-1
66,27.3,0,57.73517163746788,0,-1
67,27.32,0,58.3077668140439,0,-1
68,27.33,0,58.86878475162902,0,-1
69,27.35,0,59.43519783731314,0,-1
70,27.37,0,59.97967892336672,0,-1
71,27.39,0,60.54632231240742,0,-1
72,27.41,0,61.09051174425996,0,-1
73,27.44,0,61.60673574415983,0,-1
74,27.46,0,62.15038585063451,0,-1
75,27.49,0,62.655381643345144,0,-1
76,27.51,0,63.176833445362725,0,-1
77,27.53,0,63.66998332454866,0,-1
78,27.55,0,64.15732148844793,0,-1
79,27.58,0,64.6449073516676,0,-1
80,27.61,0,65.12145065908278,0,-1
81,27.63,0,65.56336049337003,0,-1
82,27.66,0,66.0230735113412,0,-1
83,27.68,0,66.46509661710387,0,-1
84,27.71,0,66.89638615162197,0,-1
85,27.74,0,67.31043130464307,0,-1
86,27.76,0,67.72462587615414,0,-1
87,27.78,0,68.11574832781778,0,-1
88,27.8,0,68.51250993251071,0,-1
89,27.83,0,68.90393226039353,0,-1
90,27.84,0,69.28340156389254,0,-1
91,27.87,0,69.62945560485613,0,-1
92,27.9,0,69.99860370661008,0,-1
93,27.91,0,70.35561864195206,0,-1
94,27.94,0,70.70748811086517,0,-1
95,27.96,0,71.04806421745347,0,-1
96,27.98,0,71.3826601779455,0,-1
97,28.02,0,71.69535592262261,0,-1
98,28.04,0,72.01864576822555,0,-1
99,28.06,0.0,72.31387924889974,0.0,0
100,28.08,27.382400000000025,72.60346953221503,57.1203391600943,0
101,28.09,27.389900000000022,72.89214908364737,57.24857641823418,0
102,28.11,27.39750000000002,73.16480094074748,57.38366177669699,0
103,28.14,27.405300000000015,73.4323693970205,57.52537988352349,0
104,28.16,27.413300000000017,73.68753656523715,57.673617475663995,0
105,28.18,27.42150000000001,73.9491013702141,57.828142034036226,0
106,28.2,27.430000000000003,74.18206726610696,57.98902197589665,0
107,28.22,27.438600000000005,74.4203149690989,58.15585444558418,0
108,28.23,27.447400000000002,74.64706429681132,58.32874932286402,0
109,28.24,27.456400000000002,74.89056608850747,58.50742495672193,0
110,28.26,27.465500000000002,75.10640887364383,58.692047325714675,0
111,28.27,27.474800000000005,75.32750629574382,58.88222690575822,0
112,28.28,27.4842,75.52039560527595,59.07796080781265,0
113,28.29,27.4937,75.74109224409177,59.27908142171373,0
114,28.31,27.5033,75.92288979860989,59.485639532444424,0
115,28.32,27.513299999999994,76.12684753466333,59.69713643946429,0
116,28.34,27.523499999999995,76.30943807349288,59.913735572944354,0
117,28.35,27.533799999999992,76.49668454183453,60.13527695766869,0
118,28.36,27.54429999999999,76.6837116097719,60.36152708813039,0
119,28.38,27.554999999999993,76.84838446610689,60.59265327448163,0
120,28.39,27.565999999999995,77.02412299597674,60.828208314708924,0
121,28.4,27.57709999999999,77.18294749155471,61.06835603535881,0
122,28.41,27.588399999999993,77.3415482862661,61.31281552342415,0
123,28.42,27.599799999999995,77.50622159546425,61.56152588625565,0
124,28.43,27.611399999999993,77.65353464732588,61.814493390260566,0
125,28.44,27.623199999999994,77.80107196763419,62.071375701109176,0
126,28.44,27.635199999999994,77.93147243952606,62.33240004052199,0
127,28.45,27.647199999999994,78.07313988323352,62.59711097804122,0
128,28.46,27.659299999999988,78.21461017235542,62.86573538445249,0
129,28.47,27.67159999999999,78.3456292253659,63.1379883708287,0
130,28.47,27.68399999999999,78.45282085199203,63.41387779478301,0
131,28.47,27.696499999999993,78.57714725577465,63.693109957123646,0
132,28.48,27.708999999999993,78.6565549002821,63.97579840502899,0
133,28.48,27.721699999999995,78.68519075006283,64.26143897449452,0
134,28.49,27.734499999999993,78.66305439442374,64.54952348315554,0
135,28.47,27.74759999999999,78.616636791985,64.83954637793096,0
136,28.47,27.760499999999993,78.57088015828646,65.13103422192407,0
137,28.44,27.77339999999999,78.47871225748976,65.42393750577838,0
138,28.42,27.78599999999999,78.35834528760878,65.71767820149303,0
139,28.39,27.798499999999994,78.20914401028053,66.01220334565335,0
140,28.36,27.81079999999999,77.97012231856702,66.30694042535069,0
141,28.32,27.822799999999987,77.69539434689048,66.60121779999581,0
142,28.29,27.834399999999988,77.3544630365885,66.89422350143057,0
143,28.24,27.84579999999999,76.97866618348031,67.18484288021769,0
144,28.2,27.856799999999986,76.56864241529904,67.47193219728051,0
145,28.16,27.867399999999986,76.13123478995267,67.75458074334135,0
146,28.11,27.877499999999976,75.67615377493556,68.03205975460608,0
147,28.08,27.88719999999998,75.1882024925259,68.30402498727531,0
148,28.03,27.89659999999998,74.68840652500568,68.56974821573857,0
149,27.98,27.905499999999982,74.15401251078299,68.8287138002486,0
150,27.93,27.913899999999984,73.65970489492632,69.07966944084811,0
151,27.9,27.921799999999983,73.12121336985014,69.32261859456611,1
152,27.86,27.929399999999987,72.58799348605893,69.55655026319448,1
153,27.82,27.936499999999988,72.0597068644888,69.78095077755549,1
154,27.78,27.943099999999994,71.52119941221274,69.99569793065008,1
155,27.75,27.949299999999994,71.00543660888559,70.20029529982766,1
156,27.72,27.955199999999994,70.48386077848427,70.39491488553723,1
157,27.69,27.960599999999996,69.95678690048236,70.57909906593704,1
158,27.66,27.9657,69.45213535207613,70.75273943790589,1
159,27.63,27.970299999999998,68.9310111478223,70.9158299280162,1
160,27.61,27.9745,68.41033951123913,71.06820850574833,1
161,27.59,27.9784,67.92854309897321,71.20965294706839,1
162,27.58,27.982000000000006,67.42550714704728,71.34049676196908,1
163,27.55,27.98540000000001,66.9154173634035,71.46058499622534,1
164,27.54,27.98840000000001,66.42285249802188,71.56973269222132,1
165,27.52,27.99110000000001,65.9360492747633,71.66822904887887,1
166,27.51,27.99350000000001,65.4549905389026,71.75613410984509,1
167,27.5,27.995600000000017,64.99099640613646,71.83333229885945,1
168,27.48,27.997400000000017,64.50971651307863,71.90016459478036,1
169,27.47,27.998900000000013,64.05129218241177,71.95657391239484,1
170,27.47,28.00010000000001,63.59307891708257,72.00273485584584,1
171,27.45,28.001100000000005,63.1512708971785,72.038868855783,1
172,27.45,28.00170000000001,62.6928391588991,72.06491834163072,1
173,27.45,28.002100000000006,62.263137013990026,72.0809416157771,1
174,27.44,28.002200000000006,61.832766095767695,72.0875056284754,1
175,27.43,28.002000000000006,61.402368817459404,72.08432943092673,1
176,27.42,28.001400000000004,60.98335926995792,72.07179930266787,1
177,27.42,28.000500000000002,60.564541318709566,72.04986456091382,1
178,27.41,27.999400000000005,60.16243717219831,72.01881014085544,1
179,27.4,27.998,59.73754117915175,71.97886129769293,1
180,27.4,27.9962,59.3583242553391,71.92978763596777,1
181,27.39,27.994100000000007,58.972777014195636,71.87215637193034,1
182,27.38,27.991700000000005,58.57073778336341,71.80625053713858,1
183,27.38,27.988900000000005,58.20252563215773,71.73172717985881,1
